Date, Session Winnings, Session Losses
Tue Sep 02 04:00:00 EDT 2025,7.11,,
Wed Sep 03 04:00:00 EDT 2025,,-103.65
Thu Sep 04 04:00:00 EDT 2025,39.16,,
Fri Sep 05 04:00:00 EDT 2025,82.81,,
Sat Sep 06 04:00:00 EDT 2025,,-34.39
Sun Sep 07 04:00:00 EDT 2025,290.65,,
Mon Sep 08 04:00:00 EDT 2025,,-20.74
Tue Sep 09 04:00:00 EDT 2025,18.20,,
Wed Sep 10 04:00:00 EDT 2025,,-2.78
Thu Sep 11 04:00:00 EDT 2025,9.18,,
Fri Sep 12 04:00:00 EDT 2025,8.86,,
Sat Sep 13 04:00:00 EDT 2025,27.97,,
Sun Sep 14 04:00:00 EDT 2025,30.35,,
Mon Sep 15 04:00:00 EDT 2025,,-57.13
Tue Sep 16 04:00:00 EDT 2025,20.25,,
Wed Sep 17 04:00:00 EDT 2025,69.67,,
Thu Sep 18 04:00:00 EDT 2025,0.48,,
Fri Sep 19 04:00:00 EDT 2025,4.16,,
Sat Sep 20 04:00:00 EDT 2025,30.99,,
Sun Sep 21 04:00:00 EDT 2025,,-11.22
Mon Sep 22 04:00:00 EDT 2025,,-9.65
Tue Sep 23 04:00:00 EDT 2025,61.15,,
Wed Sep 24 04:00:00 EDT 2025,0.01,,
Thu Sep 25 04:00:00 EDT 2025,45.25,,
Fri Sep 26 04:00:00 EDT 2025,5.35,,
Sat Sep 27 04:00:00 EDT 2025,4.30,,
Sun Sep 28 04:00:00 EDT 2025,,-9.57
Mon Sep 29 04:00:00 EDT 2025,13.78,,
Tue Sep 30 04:00:00 EDT 2025,27.66,,
Wed Oct 01 04:00:00 EDT 2025,11.16,,
Thu Oct 02 04:00:00 EDT 2025,,-0.51
Fri Oct 03 04:00:00 EDT 2025,34.87,,
Sat Oct 04 04:00:00 EDT 2025,50.46,,
Sun Oct 05 04:00:00 EDT 2025,,-3.95
Mon Oct 06 04:00:00 EDT 2025,23.90,,
Tue Oct 07 04:00:00 EDT 2025,2.40,,
Wed Oct 08 04:00:00 EDT 2025,,-72.07
Thu Oct 09 04:00:00 EDT 2025,108.59,,
Fri Oct 10 04:00:00 EDT 2025,2.96,,
Sat Oct 11 04:00:00 EDT 2025,2.56,,
Sun Oct 12 04:00:00 EDT 2025,27.06,,
Mon Oct 13 04:00:00 EDT 2025,12.09,,
Tue Oct 14 04:00:00 EDT 2025,3.14,,
Wed Oct 15 04:00:00 EDT 2025,,-33.70
Thu Oct 16 04:00:00 EDT 2025,81.72,,
Fri Oct 17 04:00:00 EDT 2025,,-19.02
Sat Oct 18 04:00:00 EDT 2025,18.63,,
Sun Oct 19 04:00:00 EDT 2025,24.83,,
Mon Oct 20 04:00:00 EDT 2025,,-69.93
Tue Oct 21 04:00:00 EDT 2025,51.08,,
Wed Oct 22 04:00:00 EDT 2025,109.06,,
Thu Oct 23 04:00:00 EDT 2025,,-61.14
Fri Oct 24 04:00:00 EDT 2025,,-19.56
Sat Oct 25 04:00:00 EDT 2025,151.87,,
Sun Oct 26 04:00:00 EDT 2025,2.39,,
Mon Oct 27 04:00:00 EDT 2025,,-15.61
Tue Oct 28 04:00:00 EDT 2025,3.34,,
Wed Oct 29 04:00:00 EDT 2025,,-8.76
Thu Oct 30 04:00:00 EDT 2025,,-2.58
Fri Oct 31 04:00:00 EDT 2025,,-94.29
Sat Nov 01 04:00:00 EDT 2025,198.21,,
Sun Nov 02 04:00:00 EST 2025,58.39,,
Mon Nov 03 04:00:00 EST 2025,2.94,,
Tue Nov 04 04:00:00 EST 2025,,-47.53
Wed Nov 05 04:00:00 EST 2025,,-14.25
Thu Nov 06 04:00:00 EST 2025,,-40.91
Fri Nov 07 04:00:00 EST 2025,,-81.24
Sat Nov 08 04:00:00 EST 2025,91.44,,
Sun Nov 09 04:00:00 EST 2025,126.94,,
Mon Nov 10 04:00:00 EST 2025,,-4.17
Tue Nov 11 04:00:00 EST 2025,14.15,,
Wed Nov 12 04:00:00 EST 2025,,-47.68
Thu Nov 13 04:00:00 EST 2025,,-46.54
Fri Nov 14 04:00:00 EST 2025,,-59.44
Sat Nov 15 04:00:00 EST 2025,198.30,,
Sun Nov 16 04:00:00 EST 2025,,-5.84
Mon Nov 17 04:00:00 EST 2025,1.22,,
Tue Nov 18 04:00:00 EST 2025,,-110.23
Wed Nov 19 04:00:00 EST 2025,,-20.26
Thu Nov 20 04:00:00 EST 2025,,-3.69
Fri Nov 21 04:00:00 EST 2025,,-196.98
Sat Nov 22 04:00:00 EST 2025,314.79,,
Sun Nov 23 04:00:00 EST 2025,231.84,,
Mon Nov 24 04:00:00 EST 2025,,-6.15
Tue Nov 25 04:00:00 EST 2025,,-7.47
Wed Nov 26 04:00:00 EST 2025,4.00,,
Thu Nov 27 04:00:00 EST 2025,39.41,,
Fri Nov 28 04:00:00 EST 2025,30.88,,
Sat Nov 29 04:00:00 EST 2025,,-0.10
Sun Nov 30 04:00:00 EST 2025,19.84,,
Mon Dec 01 04:00:00 EST 2025,,-29.35
Tue Dec 02 04:00:00 EST 2025,5.22,,
Wed Dec 03 04:00:00 EST 2025,14.30,,
Thu Dec 04 04:00:00 EST 2025,,-215.64
Fri Dec 05 04:00:00 EST 2025,,-53.92
Sat Dec 06 04:00:00 EST 2025,85.47,,
Sun Dec 07 04:00:00 EST 2025,28.10,,
Mon Dec 08 04:00:00 EST 2025,,-23.36
Tue Dec 09 04:00:00 EST 2025,288.35,,
